Sample_Index,ADC_Value
0,1535
1,1855
2,1601
3,1317
4,1491
5,1830
6,1702
7,1360
8,1434
9,1825
10,1829
11,1476
12,1497
13,1904
14,1945
15,1588
16,1521
17,1872
18,2047
19,1774
20,1611
21,1905
22,2192
23,1963
24,0
25,0
26,2331
27,2110
28,1822
29,2012
30,2361
31,2245
32,1934
33,1990
34,0
35,2304
36,1908
37,1814
38,2125
39,2121
40,1672
41,1501
42,1805
43,1850
44,1350
45,1200
46,1410
47,1591
48,1273
49,0
50,0
51,1520
52,1259
53,946
54,1118
55,1444
56,1323
57,973
58,1023
59,1409
60,1412
61,1045
62,1034
63,1422
64,1449
65,0
66,1009
67,1375
68,1520
69,1194
70,1007
71,1339
72,1619
73,1316
74,1055
75,1307
76,1616
77,1389
78,1103
79,1249
80,1583
81,1458
82,1127
83,1206
84,1606
85,1535
86,0
87,1180
88,1561
89,1584
90,1229
91,1157
92,1489
93,1653
94,1316
95,1127
96,1438
97,1681
98,1353
99,1114
100,1362
101,1643
102,1441
103,1152
104,1302
105,1654
106,1521
107,1183
108,1286
109,1649
110,1579
111,1237
112,1236
113,1579
114,1616
115,1252
116,1163
117,1535
118,1710
119,1344
120,1200
121,1529
122,1735
123,1459
124,1200
125,1409
126,1771
127,1559
128,1252
129,1430
130,1761
131,1607
132,1280
133,1357
134,1727
135,1715
136,1351
137,1347
138,1731
139,1742
140,1373
141,1328
142,1675
143,1823
144,1503
145,1310
146,0
147,1863
148,1558
149,1337
150,1626
151,1884
152,1648
153,1364
154,1535
155,1889
156,1751
157,1407
158,1495
159,1891
160,1834
161,1469
162,1487
163,1840
164,1869
165,1567
166,1511
167,1858
168,2032
169,1715
170,1525
171,0
172,2064
173,1761
174,1589
175,1882
176,2128
177,1879
178,1535
179,1675
180,1985
181,1871
182,1522
183,1589
184,1926
185,1847
186,1487
187,1520
188,1895
189,1885
190,1518
191,1455
192,1794
193,1923
194,1601
195,1438
196,1663
197,1985
198,1685
199,1441
200,1698
201,1916
202,1617
203,1453
204,1907
205,2683
206,3241
207,3697
208,4095
209,0
210,4095
211,3486
212,2753
213,2457
214,2003
215,1465
216,1422
217,1851
218,1997
219,1687
220,1557
221,1837
222,2014
223,1715
224,1469
225,1718
226,2026
227,1817
228,1502
229,1680
230,2038
231,1887
232,1555
233,1675
234,2046
235,1949
236,1601
237,1658
238,2018
239,2064
240,1729
241,1653
242,1999
243,2154
244,1827
245,1654
246,1981
247,2223
248,1925
249,1722
250,2000
251,2279
252,2014
253,1771
254,1984
255,2317
256,2192
257,1887
258,1987
259,2396
260,2382
261,2039
262,2095
263,2495
264,2517
265,2181
266,2145
267,2505
268,2666
269,2378
270,2230
271,2533
272,2793
273,2497
274,2245
275,2483
276,2764
277,2445
278,2111
279,2240
280,2479
281,2238
282,1845
283,1861
284,2128
285,2000
286,1584
287,1527
288,1872
289,1882
290,1472
291,1405
292,1775
293,1856
294,1483
295,1323
296,1631
297,1831
298,1534
299,1298
300,1632
301,1887
302,1625
303,1348
304,1558
305,1859
306,1680
307,1379
308,1500
309,1852
310,1786
311,1426
312,1439
313,1846
314,1904
315,1528
316,1465
317,1842
318,1927
319,0
320,1430
321,1751
322,1937
323,1646
324,1423
325,1693
326,1985
327,1745
328,1434
329,1647
330,1968
331,1756
332,1433
333,1567
334,1933
335,1862
336,1520
337,1520
338,1863
339,1905
340,1535
341,1472
342,1855
343,1955
344,1575
345,1447
346,1792
347,1981
348,1679
349,1457
350,1712
351,1987
352,1758
353,1456
354,1664
355,2014
356,1809
357,1466
358,1605
359,1975
360,1863
361,1522
362,1581
363,1938
364,1967
365,1607
366,1513
367,1869
368,2001
369,1661
370,1499
371,1847
372,2021
373,1687
374,1488
375,1773
376,2030
377,1807
378,1513
379,1700
380,2053
381,1884
382,1525
383,1659
384,2042
385,1922
386,1577
387,1633
388,2006
389,2020
390,1666
391,1587
392,1936
393,2084
394,1730
395,1564
396,1906
397,2101
398,1761
399,0
400,1906
401,2181
402,1942
403,1655
404,1849
405,2198
406,2044
407,1678
408,1888
409,2261
410,2124
411,1731
412,1711
413,2057
414,2117
415,1744
416,1665
417,2006
418,2080
419,1683
420,1559
421,1883
422,2057
423,1745
424,1525
425,1785
426,2082
427,1843
428,0
429,0
430,2075
431,1867
432,1530
433,1673
434,1985
435,1847
436,1515
437,1688
438,2395
439,3053
440,3404
441,4095
442,4095
443,4095
444,3891
445,3009
446,2665
447,2324
448,1773
449,1474
450,1755
451,2061
452,1841
453,0
454,0
455,2092
456,1856
457,1535
458,1680
459,1995
460,1918
461,1591
462,1621
463,2012
464,2047
465,1666
466,1615
467,1994
468,2067
469,1718
470,1598
471,1920
472,2149
473,1860
474,1623
475,1904
476,2186
477,1887
478,1637
479,1858
480,2189
481,2027
482,1724
483,1833
484,2225
485,2151
486,1781
487,1847
488,2233
489,2227
490,1890
491,1863
492,0
493,2398
494,2063
495,1923
496,2293
497,2499
498,2177
499,2018
500,2352
501,2623
502,2370
503,2116
504,2330
505,2677
506,2509
507,2180
508,2317
509,2674
510,2507
511,2096
512,2096
513,2405
514,2322
515,1882
516,1738
517,2061
518,2090
519,1658
520,1491
521,1812
522,1929
523,1558
524,1317
525,1577
526,1849
527,1599
528,1328
529,1509
530,1834
531,1603
532,1293
533,1455
534,1795
535,1727
536,1375
537,1391
538,1775
539,1764
540,0
541,1386
542,1771
543,1840
544,1473
545,1361
546,1710
547,1939
548,1648
549,1426
550,1712
551,1981
552,1693
553,1423
554,1654
