Sample_Index,ADC_Value
0,1529
1,1905
2,1991
3,1638
4,1471
5,1788
6,1994
7,1697
8,1454
9,1733
10,2023
11,1790
12,1487
13,1682
14,2013
15,1872
16,1531
17,1650
18,2000
19,1936
20,1584
21,1619
22,1986
23,2020
24,1671
25,1607
26,1984
27,2118
28,1769
29,1600
30,1938
31,2156
32,1863
33,1633
34,1899
35,2191
36,1967
37,1677
38,1869
39,2192
40,2046
41,1733
42,1866
43,2241
44,2179
45,1830
46,1856
47,2238
48,2266
49,1920
50,1853
51,2222
52,2355
53,1997
54,1843
55,2177
56,2367
57,2057
58,1799
59,2047
60,2302
61,2061
62,1731
63,1901
64,2195
65,2011
66,1664
67,1754
68,2086
69,1963
70,1627
71,1638
72,1998
73,2013
74,1653
75,1585
76,1940
77,2060
78,1727
79,1583
80,1905
81,2096
82,1779
83,1557
84,1841
85,2128
86,1891
87,1587
88,1775
89,2109
90,1954
91,1621
92,1741
93,2105
94,2032
95,1692
96,1717
97,2086
98,2091
99,1734
100,1674
101,2031
102,2128
103,1792
104,1643
105,1970
106,2186
107,1888
108,1641
109,1897
110,2187
111,1951
112,1648
113,1839
114,2166
115,2015
116,1680
117,1785
118,2118
119,2064
120,1727
121,1749
122,2118
123,2124
124,1763
125,1706
126,2070
127,2176
128,1835
129,1662
130,1968
131,2185
132,1921
133,1677
134,1935
135,2181
136,1954
137,1686
138,1890
139,2201
140,2041
141,1719
142,1835
143,2192
144,2129
145,1759
146,1760
147,2138
148,2171
149,1817
150,1743
151,2093
152,2194
153,1876
154,1742
155,2057
156,2253
157,1951
158,1712
159,1967
160,2242
161,2020
162,1730
163,1927
164,2243
165,2089
166,1744
167,1854
168,2209
169,2169
170,1823
171,1830
172,2189
173,2209
174,1850
175,1763
176,2111
177,2225
178,1915
179,1772
180,2092
181,2320
182,2037
183,1808
184,2096
185,2374
186,2155
187,1856
188,2039
189,2387
190,2274
191,1942
192,2027
193,2346
194,2227
195,1840
196,1839
197,2201
198,2231
199,1872
200,1780
201,2128
202,2251
203,1911
204,1740
205,2038
206,2251
207,1965
208,1731
209,1979
210,2245
211,2019
212,1727
213,1899
214,2227
215,2079
216,1735
217,1799
218,2170
219,2243
220,2117
221,2425
222,3114
223,3375
224,2855
225,2559
226,2826
227,2795
228,2229
229,1802
230,1935
231,2091
232,1866
233,1714
234,2013
235,2314
236,2105
237,1798
238,1967
239,2289
240,2148
241,1803
242,1892
243,2252
244,2191
245,1839
246,1835
247,2175
248,2192
249,1871
250,1808
251,2155
252,2290
253,1966
254,1792
255,2095
256,2294
257,2030
258,1794
259,2045
260,2304
261,2087
262,1801
263,1987
264,2309
265,2181
266,1852
267,1942
268,2311
269,2261
270,1914
271,1922
272,2291
273,2323
274,1985
275,1903
276,2241
277,2367
278,2062
279,1902
280,2210
281,2429
282,2171
283,1936
284,2187
285,2482
286,2279
287,1958
288,2126
289,2448
290,2320
291,1979
292,2054
293,2399
294,2331
295,1954
296,1915
297,2247
298,2272
299,1909
300,1783
301,2094
302,2202
303,1876
304,1691
305,1975
306,2161
307,1875
308,1634
309,1869
310,2145
311,1923
312,1619
313,1794
314,2127
315,1991
316,1650
317,1732
318,2089
319,2034
320,1683
321,1683
322,2064
323,2118
324,1774
325,1670
326,2000
327,2134
328,1818
329,1641
330,1952
331,2187
332,1911
333,1661
334,1898
335,2158
336,1948
337,1648
338,1817
339,2143
340,2002
341,1662
342,1744
343,2112
344,2065
345,1707
346,1682
347,2030
348,2074
349,1750
350,1661
351,1996
352,2126
353,1803
354,1623
355,1919
356,2122
357,1846
358,1601
359,1840
360,2130
361,1920
362,1617
363,1781
364,2125
365,2000
366,1666
367,1735
368,2086
369,2047
370,1684
371,1667
372,2032
373,2099
374,1744
375,1625
376,1963
377,2122
378,1795
379,1609
380,1896
381,2133
382,1868
383,1611
384,1831
385,2123
386,1920
387,1611
388,1756
389,2072
390,1955
391,1627
392,1712
393,2067
394,2026
395,1661
396,1648
397,2014
398,2060
399,1723
400,1621
401,1984
402,2143
403,1809
404,1600
405,1879
406,2117
407,1859
408,1590
409,1825
410,2128
411,1950
412,1658
413,1833
414,2181
415,2076
416,1715
417,1777
418,2143
419,2128
420,1799
421,1775
422,2112
423,2130
424,1733
425,1585
426,1916
427,2064
428,1766
429,1573
430,1872
431,2098
432,1824
433,1535
434,1755
435,2057
436,1866
437,1535
438,1699
439,2037
440,1919
441,1573
442,1630
443,1999
444,1982
445,1594
446,1523
447,1879
448,2011
449,1801
450,1936
451,2559
452,3022
453,2768
454,2474
455,2605
456,2718
457,2266
458,1741
459,1725
460,1885
461,1697
462,1446
463,1679
464,2083
465,1986
466,1630
467,1669
468,2022
469,1997
470,1643
471,1602
472,1948
473,2025
474,1680
475,1535
476,1892
477,2035
478,1735
479,1535
480,1854
481,2111
482,1794
483,1561
484,1776
485,2079
486,1904
487,1615
488,1739
489,2070
490,1963
491,1631
492,1705
493,2091
494,2073
495,1697
496,1668
497,2015
498,2095
499,1777
500,1677
501,2002
502,2159
503,1850
504,1651
505,1949
506,2208
507,1965
508,1707
509,1936
510,2240
511,2062
512,1743
513,1887
514,2206
515,2125
516,1773
517,1834
518,2192
519,2177
520,1811
521,1774
522,2137
523,2210
524,1840
525,1676
526,1958
527,2135
528,1786
529,1535
530,1791
531,2017
532,1747
533,1466
534,1673
535,1936
536,1745
537,1430
538,1571
539,1905
540,1808
541,1467
542,1506
543,1870
544,1866
545,1492
546,1456
547,1807
548,1886
549,1563
550,1442
551,1781
552,1970
553,1655
554,1446
555,1714
556,1947
557,1724
558,1463
559,1693
560,1998
561,1808
562,1488
563,1623
564,1967
565,1870
566,1607
567,1554
568,1906
569,1894
570,1563
571,1520
572,1887
573,1981
574,1637
575,1499
576,1803
577,1951
578,1659
579,1458
580,1745
581,2009
582,1762
583,1478
584,1670
585,1951
586,1776
587,1468
588,1600
589,1930
590,1840
591,1491
592,1535
593,1923
594,1932
595,1562
596,1490
597,1867
598,1946
599,1603
600,1467
601,1793
602,1962
603,1666
604,1460
605,1740
606,1980
607,1749
608,1482
609,1693
610,1976
611,1812
612,1493
613,1629
614,1991
615,1906
616,1535
617,1569
618,1938
619,1950
620,1584
621,1519
622,1874
623,1968
624,1664
625,1526
626,1835
627,1993
628,1706
629,1500
630,1776
631,2027
632,1791
633,1506
634,1712
635,2030
636,1873
637,1535
638,1657
639,2015
640,1936
641,1575
642,1600
643,1970
644,1972
645,1611
646,1535
647,1920
648,2032
649,1726
650,1603
651,1943
652,2145
653,1859
654,1637
655,1902
656,2159
657,1939
658,1682
659,1897
660,2187
661,1968
662,1575
663,1659
664,2027
665,1965
666,1601
667,1595
668,1951
669,1971
670,1623
671,1553
672,1895
673,1986
674,1667
675,1523
676,1841
677,2005
678,1726
679,1515
680,1782
681,2032
682,1799
683,1493
684,1668
685,1976
686,1868
687,1673
688,2057
689,2736
690,2950
691,2672
692,2603
693,2815
694,2694
695,2119
696,1754
697,1873
698,1904
699,1573
700,1476
701,1863
702,2102
703,1830
704,1611
705,1858
706,2077
707,1851
708,1581
709,1780
710,2112
711,1946
712,1596
713,1690
714,2043
715,1997
716,1664
717,1686
718,2039
719,2064
720,1713
721,1650
722,1982
723,2081
724,1771
725,1627
726,1951
