Sample_Index,ADC_Value
0,1710
1,1825
2,1835
3,1678
4,1697
5,1814
6,1866
7,1729
8,1682
9,1791
10,1855
11,1794
12,1746
13,1845
14,1897
15,1825
16,1718
17,1746
18,1973
19,1957
20,1806
21,1872
22,1975
23,1978
24,1849
25,1915
26,2030
27,2019
28,1904
29,1942
30,2068
31,2112
32,2011
33,2018
34,2160
35,2265
36,2201
37,2160
38,2299
39,2393
40,2335
41,2259
42,2388
43,2450
44,2421
45,2342
46,2461
47,2542
48,2517
49,2367
50,2399
51,2480
52,2422
53,2210
54,2123
55,2128
56,2080
57,1888
58,1791
59,1819
60,1808
61,1674
62,1580
63,1633
64,1655
65,1535
66,1430
67,1567
68,1646
69,1589
70,1443
71,1535
72,1618
73,1591
74,1447
75,1503
76,1600
77,1603
78,1466
79,1439
80,1621
81,1621
82,1485
83,1471
84,1610
85,1682
86,1583
87,1495
88,1612
89,1679
90,1611
91,1519
92,1655
93,1712
94,1644
95,1517
96,1631
97,1711
98,1681
99,1535
100,1618
101,1726
102,1735
103,1593
104,1611
105,1694
106,1712
107,1591
108,1588
109,1682
110,1741
111,1631
112,1567
113,1699
114,1783
115,1705
116,1582
117,1681
118,1715
119,1653
120,1535
121,1663
122,1761
123,1745
124,1596
125,1664
126,1792
127,1778
128,1636
129,1619
130,1721
131,1747
132,1648
133,1730
134,1731
135,1776
136,1673
137,1606
138,1826
139,1829
140,1758
141,1648
142,1743
143,1825
144,1774
145,1636
146,1715
147,1802
148,1794
149,1670
150,1728
151,1808
152,1808
153,1654
154,1686
155,1818
156,1853
157,1712
158,1687
159,1808
160,1860
161,1735
162,1673
163,1789
164,1823
165,1742
166,1655
167,1791
168,1847
169,1785
170,1673
171,1810
172,1937
173,1942
174,1818
175,1889
176,1991
177,1974
178,1830
179,1796
180,1955
181,1990
182,1883
183,1840
184,1916
185,1907
186,1774
187,1715
188,1783
189,1935
190,1828
191,1685
192,1776
193,1837
194,1774
195,1633
196,1732
197,1826
198,1792
199,1658
200,1744
201,1878
202,1877
203,1671
204,1689
205,1839
206,1872
207,1680
208,1607
209,1805
210,2060
211,2302
212,2753
213,3797
214,4095
215,4095
216,4095
217,3901
218,3070
219,2274
220,1698
221,1678
222,1834
223,1866
224,1723
225,1790
226,1927
227,1915
228,1712
229,1711
230,1830
231,1843
232,1696
233,1664
234,1822
235,1900
236,1761
237,1673
238,1808
239,1925
240,1831
241,1687
242,1829
243,1934
244,1846
245,1693
246,1792
247,1933
248,1911
249,1759
250,1825
251,1954
252,1952
253,1818
254,1866
255,1990
256,2022
257,1869
258,1853
259,2026
260,2105
261,1970
262,1904
263,2075
264,2177
265,2099
266,1984
267,2149
268,2285
269,2254
270,2144
271,2270
272,2416
273,2395
274,2250
275,2333
276,2480
277,2496
278,2343
279,2384
280,2527
281,2556
282,2365
283,2286
284,2346
285,2320
286,2153
287,1984
288,2026
289,2004
290,1825
291,1642
292,1725
293,1798
294,1712
295,1509
296,1557
297,1604
298,1535
299,1378
300,1436
301,1585
302,1582
303,1386
304,1413
305,1558
306,1584
307,1427
308,1354
309,1535
310,1578
311,1430
312,1360
313,1520
314,1633
315,1535
316,1409
317,1535
318,1650
319,1578
320,1418
321,1520
322,1629
323,1583
324,1421
325,1507
326,1636
327,1655
328,1495
329,1535
330,1681
331,1709
332,1527
333,1487
334,1620
335,1673
336,1558
337,1494
338,1633
339,1687
340,1576
341,1466
342,1623
343,1730
344,1659
345,1493
346,1598
347,1726
348,1678
349,1491
350,1569
351,1682
352,1675
353,1514
354,1535
355,1688
356,1729
357,1569
358,1535
359,1682
360,1734
361,1593
362,1517
363,1659
364,1739
365,1651
366,1524
367,1669
368,1781
369,1713
370,1535
371,1643
372,1757
373,1714
374,1563
375,1641
376,1729
377,1712
378,1563
379,1613
380,1746
381,1792
382,1634
383,1611
384,1744
385,1785
386,1659
387,1599
388,1746
389,1815
390,1690
391,1555
392,1710
393,1831
394,1773
395,1618
396,1715
397,1808
398,1753
399,1648
400,1680
401,1824
402,1825
403,1637
404,1650
405,1777
406,1812
407,1690
408,1712
409,1867
410,1932
411,1811
412,1738
413,1866
414,1937
415,1842
416,1738
417,1915
418,2047
419,1949
420,1731
421,1775
422,1862
423,1830
424,1680
425,1747
426,1872
427,1836
428,1639
429,1647
430,1773
431,1793
432,1651
433,1635
434,1749
435,1789
436,1661
437,1595
438,1731
439,1799
440,1718
441,1616
442,1750
443,1807
444,1677
445,1513
446,1728
447,2105
448,2515
449,2970
450,3970
451,4095
452,4095
453,3902
454,3239
455,2635
456,2117
457,1664
458,1584
459,1760
460,1867
461,1753
462,1677
463,1802
464,1845
465,1743
466,1632
467,1768
468,1857
469,1774
470,1606
471,1711
472,1850
473,1808
474,1643
475,1728
476,1842
477,1836
478,1680
479,1733
480,1872
481,1907
482,1742
483,1725
484,1881
485,1926
486,1777
487,1758
488,1874
489,1968
490,1882
491,1770
492,1907
493,2000
494,1951
495,1819
496,1938
497,2055
498,2019
499,1891
500,2002
501,2144
502,2160
503,2015
504,2065
505,2222
506,2281
507,2153
508,2166
509,2319
510,2362
511,2277
512,2223
513,2413
514,2536
515,2439
516,2303
517,2425
518,2512
519,2413
520,2218
521,2255
522,2257
523,2133
524,1915
525,1936
526,1987
527,1910
528,1669
529,1654
530,1766
531,1741
532,1520
533,1459
534,1565
535,1591
536,1431
537,1363
538,1517
539,1604
540,1477
541,1344
542,1485
543,1601
544,1510
545,1345
546,1465
547,1565
548,1526
549,1375
550,1468
551,1602
552,1607
553,1424
554,1422
555,1615
556,1661
557,1499
558,1465
559,1614
560,1650
561,1509
562,1436
563,1587
564,1658
565,1555
566,1437
567,1597
568,1727
569,1648
570,1452
571,1533
572,1669
573,1651
574,1472
575,1565
576,1676
577,1648
578,1488
579,1535
580,1680
581,1699
582,1499
583,1480
584,1620
585,1675
586,1554
587,1482
588,1630
589,1680
590,1585
591,1466
592,1622
593,1709
594,1634
595,1471
596,1589
597,1712
598,1664
599,1533
600,1613
601,1693
602,1648
603,1488
604,1535
605,1687
606,1717
607,1565
608,1535
609,1712
610,1776
611,1642
612,1557
613,1680
614,1727
615,1635
616,1520
617,1699
618,1789
619,1683
620,1514
621,1663
622,1803
623,1771
624,1599
625,1670
626,1750
627,1717
628,1567
629,1616
630,1776
631,1808
632,1641
633,1613
634,1754
635,1822
636,1696
637,1617
638,1761
639,1839
640,1728
641,1609
642,1763
643,1884
644,1829
645,1697
646,1821
647,1904
648,1840
649,1680
650,1829
651,1959
652,1938
653,1773
654,1808
655,1913
656,1872
657,1683
658,1693
659,1859
660,1899
661,1728
662,1617
663,1744
664,1813
665,1719
666,1651
667,1733
668,1838
669,1761
670,1596
671,1694
672,1807
673,1762
674,1617
675,1715
676,1824
677,1807
678,1600
679,1590
680,1728
681,1862
682,2055
683,2559
684,3511
685,4095
686,4095
687,4067
688,3619
689,2898
690,2224
691,1786
692,1799
693,1841
694,1774
695,1644
696,1794
697,1918
698,1877
699,1695
700,1767
701,1841
702,1806
703,1665
704,1729
705,1872
706,1871
707,1716
708,1699
709,1840
710,1895
711,1782
712,1706
713,1855
714,1959
715,1853
716,1713
717,1854
718,1963
719,1885
720,1732
721,1867
722,1945
723,1911
724,1774
725,1894
726,2053
727,2065
728,1874
729,1906
730,2077
731,2115
732,1942
733,1940
734,2109
735,2169
736,2047
737,2001
738,2182
739,2295
740,2224
741,2128
742,2283
743,2389
744,2341
745,2213
746,2352
747,2496
748,2481
749,2320
750,2415
751,2555
752,2545
753,2338
754,2339
755,2423
756,2354
757,2128
758,2047
759,2124
760,2112
761,1895
762,1751
763,1838
764,1856
765,1707
766,1535
767,1663
768,1712
769,1613
770,1428
771,1535
772,1687
773,1649
774,1456
775,1527
776,1680
777,1644
778,1450
779,1471
780,1605
781,1670
782,1506
783,1488
784,1648
785,1695
786,1535
787,1470
788,1641
789,1729
790,1621
791,1472
792,1622
793,1723
794,1659
795,1507
796,1648
797,1765
798,1728
799,1535
800,1607
801,1717
802,1733
803,1561
804,1598
805,1744
806,1757
807,1589
808,1573
809,1705
810,1744
811,1602
812,1535
813,1708
814,1773
815,1647
816,1519
817,1680
818,1776
819,1691
820,1520
821,1643
822,1784
823,1728
