Sample_Index,ADC_Value
0,1676
1,2420
2,2336
3,1609
4,1663
5,2416
6,2541
7,1805
8,1650
9,2382
10,2677
11,1984
12,1680
13,2367
14,2873
15,2269
16,1787
17,2341
18,2975
19,2475
20,1841
21,2288
22,3012
23,2671
24,1946
25,2165
26,2875
27,2691
28,1862
29,1834
30,2497
31,2470
32,1643
33,1445
34,2112
35,2304
36,1514
37,1161
38,1785
39,2163
40,1490
41,1010
42,1565
43,2126
44,1595
45,976
46,1409
47,2067
48,1708
49,1012
50,1291
51,2021
52,1855
53,1090
54,1191
55,1946
56,1968
57,1219
58,1140
59,1887
60,2128
61,1380
62,1086
63,1760
64,2147
65,1489
66,1073
67,1680
68,2220
69,1666
70,1074
71,1535
72,2178
73,1795
74,1108
75,1391
76,2133
77,1936
78,1199
79,1319
80,2055
81,2022
82,1263
83,1202
84,1955
85,2150
86,1379
87,1120
88,1822
89,2181
90,1503
91,1101
92,1715
93,2251
94,1681
95,1102
96,1584
97,2206
98,1787
99,1117
100,1442
101,2174
102,1937
103,1203
104,1362
105,2109
106,2056
107,1282
108,1270
109,2022
110,2160
111,1394
112,1190
113,1904
114,2247
115,1535
116,1156
117,1795
118,2278
119,1681
120,1161
121,1679
122,2289
123,1841
124,1168
125,1522
126,2225
127,1954
128,1232
129,1428
130,2179
131,2112
132,1332
133,1338
134,2093
135,2182
136,1424
137,1250
138,1982
139,2294
140,1605
141,1274
142,1947
143,2435
144,1839
145,1314
146,1833
147,2419
148,1953
149,1338
150,1767
151,2480
152,2160
153,1391
154,1558
155,2260
156,2124
157,1365
158,1402
159,2151
160,2214
161,1438
162,1280
163,1998
164,2278
165,1535
166,1200
167,1862
168,2278
169,1660
170,1190
171,1759
172,2327
173,1831
174,1215
175,1636
176,2288
177,1909
178,1155
179,1424
180,2299
181,2478
182,2229
183,2901
184,4095
185,4095
186,3958
187,3490
188,3722
189,3003
190,1683
191,1136
192,1824
193,2324
194,1755
195,1317
196,1901
197,2437
198,1885
199,1246
200,1679
201,2305
202,1938
203,1263
204,1568
205,2293
206,2119
207,1365
208,1483
209,2231
210,2246
211,1487
212,1411
213,2160
214,2342
215,1610
216,1355
217,2064
218,2454
219,1795
220,1364
221,1971
222,2516
223,1979
224,1421
225,1882
226,2530
227,2143
228,1481
229,1821
230,2551
231,2347
232,1618
233,1776
234,2550
235,2557
236,1797
237,1762
238,2536
239,2733
240,2015
241,1814
242,2551
243,2960
244,2277
245,1889
246,2519
247,3120
248,2480
249,1920
250,2417
251,3097
252,2608
253,1891
254,2176
255,2817
256,2462
257,1654
258,1751
259,2415
260,2274
261,1424
262,1344
263,2062
264,2143
265,1343
266,1104
267,1819
268,2117
269,1396
270,1008
271,1645
272,2131
273,1520
274,982
275,1520
276,2124
277,1657
278,1005
279,1391
280,2096
281,1807
282,1074
283,1271
284,2032
285,1952
286,1195
287,1216
288,1970
289,2070
290,1302
291,1136
292,1843
293,2128
294,1415
295,1081
296,1758
297,2234
298,1614
299,1090
300,1628
301,2199
302,1728
303,1108
304,1519
305,2174
306,1842
307,1130
308,1378
309,2128
310,2000
311,1232
312,1283
313,2034
314,2110
315,1308
316,1168
317,1915
318,2159
319,1425
320,1117
321,1805
322,2245
323,1600
324,1104
325,1675
326,2248
327,1712
328,1103
329,1535
330,2209
331,1841
332,1135
333,1431
334,2209
335,2031
336,1239
337,1328
338,2128
339,2172
340,1347
341,1209
342,2005
343,2242
344,1465
345,1167
346,1901
347,2343
348,1648
349,1155
350,1749
351,2347
352,1776
353,1136
354,1623
355,2330
356,1936
357,1191
358,1489
359,2268
360,2076
361,1275
362,1389
363,2173
364,2196
365,1426
366,1342
367,2141
368,2336
369,1587
370,1321
371,2022
372,2398
373,1728
374,1338
375,1965
376,2477
377,1874
378,1269
379,1731
380,2364
381,1944
382,1254
383,1577
384,2258
385,2002
386,1237
387,1386
388,2145
389,2126
390,1345
391,1306
392,2080
393,2239
394,1456
395,1223
396,1933
397,2256
398,1573
399,1194
400,1824
401,2307
402,1677
403,1136
404,1776
405,2708
406,2785
407,2681
408,3829
409,4095
410,4095
411,3290
412,2864
413,2922
414,2305
415,1292
416,1270
417,2086
418,2256
419,1507
420,1328
421,2047
422,2343
