Sample_Index,ADC_Value
0,1872
1,2253
2,1648
3,1275
4,1805
5,2222
6,1703
7,1195
8,1638
9,2189
10,1819
11,1218
12,1509
13,2158
14,2000
15,1344
16,1477
17,2110
18,2095
19,1474
20,1535
21,2258
22,2432
23,1695
24,1435
25,1968
26,2177
27,1471
28,1089
29,1681
30,2183
31,1691
32,1235
33,1703
34,2224
35,1854
36,1297
37,1699
38,2368
39,2147
40,1431
41,1652
42,2514
43,2447
44,1458
45,1361
46,2325
47,2605
48,1603
49,1214
50,2064
51,2559
52,1762
53,1213
54,1927
55,2557
56,1815
57,1059
58,1675
59,2529
60,2026
61,1103
62,1462
63,2455
64,2213
65,1135
66,1266
67,2389
68,2419
69,1259
70,1073
71,2211
72,2559
73,1402
74,918
75,2101
76,3163
77,2665
78,2543
79,4095
80,4095
81,4095
82,3222
83,3283
84,3653
85,2253
86,878
87,1231
88,2451
89,2277
90,1149
91,1286
92,2480
93,2525
94,1284
95,1089
96,2258
97,2601
98,1446
99,991
100,2101
101,2790
102,1718
103,954
104,1899
105,2829
106,1989
107,1013
108,1686
109,2767
110,2187
111,1095
112,1529
113,2721
114,2423
115,1202
116,1356
117,2638
118,2706
119,1456
120,1269
121,2480
122,2862
123,1682
124,1294
125,2477
126,3254
127,2092
128,1360
129,2370
130,3445
131,2403
132,1454
133,2247
134,3648
135,2800
136,1638
137,2079
138,3425
139,2987
140,1787
141,2003
142,3397
143,3359
144,1949
145,1857
146,3155
147,3523
148,2047
149,1532
150,2607
151,3206
152,1897
153,1072
154,1971
155,2752
156,1718
157,693
158,1415
159,2513
160,1903
161,764
162,1158
163,2255
164,1845
165,586
166,813
167,2098
168,2065
169,823
170,721
171,1955
172,2237
173,976
174,532
175,1713
176,2347
177,1247
178,511
179,1505
180,2375
181,1429
182,464
183,1221
184,2341
185,1715
186,614
187,1118
188,2307
189,1877
190,657
191,917
192,2215
193,2162
194,901
195,805
196,2078
197,2351
198,1099
199,662
200,1831
201,2413
202,1289
203,634
204,1730
205,2589
206,1572
207,579
208,1338
209,2390
210,1715
211,610
212,1136
213,2401
214,2033
215,826
216,1073
217,2331
218,2223
219,927
220,804
221,2071
222,2327
223,1125
224,770
225,1938
226,2479
227,1303
228,611
229,1673
230,2549
231,1610
232,667
233,1447
234,2487
235,1808
236,747
237,1351
238,2542
239,2128
240,895
241,1114
242,2320
243,2161
244,885
245,837
246,2110
247,2375
248,1181
249,833
250,2033
251,2547
252,1341
253,678
254,1757
255,2641
256,1681
257,740
258,1535
259,2559
260,1846
261,778
262,1344
263,2533
264,2099
265,867
