Sample_Index,ADC_Value
0,1535
1,1482
2,1921
3,2064
4,1679
5,1484
6,1853
7,2081
8,1719
9,1466
10,1771
11,2071
12,1781
13,1463
14,1693
15,2077
16,1869
17,1498
18,1634
19,2059
20,1939
21,1535
22,1584
23,2018
24,2037
25,1643
26,1568
27,1995
28,2112
29,1714
30,1571
31,1953
32,2163
33,1809
34,1584
35,1905
36,2217
37,1933
38,1642
39,1887
40,2271
41,2084
42,1737
43,1872
44,2311
45,2224
46,1855
47,1917
48,2380
49,2395
50,2023
51,1994
52,2441
53,2538
54,2179
55,2064
56,2464
57,2691
58,2346
59,2127
60,2437
61,2702
62,2364
63,2023
64,2217
65,2484
66,2187
67,1778
68,1854
69,2178
70,1967
71,1521
72,1518
73,1885
74,1782
75,1357
76,1298
77,1698
78,1726
79,1332
80,1200
81,1584
82,1740
83,1374
84,1167
85,1481
86,1734
87,1425
88,1154
89,1411
90,1744
91,1504
92,1168
93,1342
94,1750
95,1599
96,1229
97,1298
98,1735
99,1667
100,1275
101,1267
102,1709
103,1739
104,1355
105,1248
106,1658
107,1823
108,1447
109,1251
110,1607
111,1867
112,1530
113,1245
114,1521
115,1886
116,1642
117,1284
118,1456
119,1879
120,1722
121,1327
122,1396
123,1830
124,1774
125,1367
126,1349
127,1783
128,1840
129,1429
130,1307
131,1697
132,1863
133,1479
134,1277
135,1618
136,1904
137,1585
138,1287
139,1568
140,1911
141,1649
142,1315
143,1488
144,1891
145,1727
146,1259
147,1424
148,1860
149,1790
150,1387
151,1369
152,1808
153,1868
154,1460
155,1344
156,1741
157,1892
158,1519
159,1328
160,1680
161,1943
162,1613
163,1328
164,1616
165,1965
166,1711
167,1358
168,1535
169,1949
170,1763
171,1369
172,1465
173,1905
174,1845
175,1447
176,1427
177,1847
178,1899
179,1504
180,1392
181,1901
182,1968
183,1585
184,1372
185,1739
186,1984
187,1641
188,1368
189,1666
190,2000
191,1731
192,1392
193,1601
194,2001
195,1821
196,1431
197,1535
198,1971
199,1889
200,1479
201,1478
202,1907
203,1939
204,1535
205,1446
206,1859
207,1999
208,1610
209,1431
210,1798
211,2029
212,1675
213,1417
214,1721
215,2045
216,1771
217,1449
218,1658
219,2032
220,1851
221,1502
222,1648
223,2102
224,2038
225,1633
226,1628
227,2039
228,2064
229,1674
230,1623
231,2057
232,2160
233,1665
234,1494
235,1850
236,2073
237,1724
238,1471
239,1773
240,2073
241,1767
242,1436
243,1646
244,2031
245,1823
246,1438
247,1566
248,1989
249,1884
250,1484
251,1515
252,1961
253,1966
254,1535
255,1467
256,1879
257,1984
258,1535
259,1383
260,1855
261,2303
262,2340
263,2617
264,3746
265,4095
266,4095
267,3689
268,3415
269,3134
270,2272
271,1497
272,1497
273,1955
274,1910
275,1557
276,1601
277,2035
278,2023
279,1603
280,1511
281,1913
282,2000
283,1611
284,1455
285,1840
286,2055
287,1690
288,1451
289,1775
