Sample_Index,ADC_Value
0,1433
1,2031
2,1493
3,900
4,1349
5,2076
6,1683
7,985
8,1262
9,2079
10,1900
11,1151
12,1211
13,2030
14,2036
15,1269
16,1131
17,1901
18,2096
19,1328
20,999
21,1683
22,2085
23,1392
24,887
25,1447
26,2027
27,1468
28,850
29,1297
30,2010
31,1616
32,898
33,1149
34,1957
35,1770
36,1003
37,1073
38,1906
39,1925
40,1152
41,1023
42,1835
43,2079
44,1327
45,998
46,1726
47,2160
48,1489
49,1023
50,1635
51,2237
52,1699
53,1098
54,1527
55,2253
56,1883
57,1195
58,1445
59,2251
60,2070
61,1305
62,1363
63,2192
64,2215
65,1437
66,1311
67,2109
68,2336
69,1597
70,1285
71,2002
72,2445
73,1776
74,1289
75,1877
76,2490
77,1954
78,1349
79,1776
80,2491
81,2128
82,1418
83,1663
84,2454
85,2295
86,1535
87,1580
88,2398
89,2422
90,1644
91,1495
92,2294
93,2540
94,1801
95,1473
96,2187
97,2637
98,1969
99,1476
100,2060
101,2673
102,2167
103,1520
104,1928
105,2653
106,2287
107,1581
108,1803
109,2609
110,2448
111,1683
112,1723
113,2547
114,2608
115,1824
116,1675
117,2459
118,2720
119,1966
120,1626
121,2330
122,2802
123,2128
124,1629
125,2203
126,2832
127,2294
128,1676
129,2076
130,2811
131,2450
132,1746
133,1969
134,2768
135,2611
136,1841
137,1870
138,2682
139,2747
140,1968
141,1806
142,2559
143,2847
144,2125
145,1783
146,2448
147,2929
148,2304
149,1847
150,2411
151,3117
152,2559
153,1927
154,2295
155,3067
156,2704
157,2003
158,2225
159,3039
160,2827
161,2000
162,1982
163,2783
164,2881
165,2119
166,1923
167,2681
168,2973
169,2224
170,1858
171,2518
172,3019
173,2353
174,1851
175,2379
176,3033
177,2507
178,1878
179,2247
180,3008
181,2672
182,1958
183,2120
184,2879
185,2744
186,2107
187,2308
188,3632
189,4095
190,3355
191,3102
192,4037
193,4095
194,2841
195,2204
196,2559
197,2906
198,2258
199,1825
200,2425
201,3186
202,2672
203,2047
204,2384
205,3150
206,2781
207,2067
208,2239
209,3056
210,2925
211,2160
212,2138
213,2935
214,3056
215,2269
216,2073
217,2818
218,3197
219,2423
220,2055
221,2687
222,3251
223,2557
224,2046
225,2532
226,3247
227,2714
228,2102
229,2431
230,3247
231,2883
232,2171
233,2314
234,3151
235,3050
236,2286
237,2261
238,3071
239,3231
