Sample_Index,ADC_Value
0,1723
1,1778
2,1703
3,1645
4,1725
5,1808
6,1751
7,1666
8,1708
9,1798
10,1772
11,1666
12,1679
13,1776
14,1787
15,1694
16,1691
17,1797
18,1825
19,1727
20,1695
21,1794
22,1836
23,1746
24,1703
25,1759
26,1818
27,1771
28,1707
29,1770
30,1843
31,1797
32,1707
33,1758
34,1839
35,1819
36,1735
37,1745
38,1861
39,1895
40,1840
41,1871
42,1983
43,1983
44,1862
45,1825
46,1934
47,2000
48,1973
49,1921
50,1985
51,1988
52,1873
53,1789
54,1872
55,1927
56,1835
57,1729
58,1795
59,1883
60,1846
61,1738
62,1747
63,1850
64,1829
65,1731
66,1761
67,1856
68,1861
69,1758
70,1735
71,1851
72,1881
73,1776
74,1691
75,1737
76,1779
77,1813
78,2014
79,2522
80,3305
81,4095
82,4095
83,4095
84,4095
85,3502
86,2631
87,2124
88,1929
89,1851
90,1776
91,1789
92,1893
93,1913
94,1831
95,1793
96,1870
97,1885
98,1804
99,1757
100,1856
101,1906
102,1823
103,1753
104,1838
105,1901
106,1853
107,1787
108,1858
109,1946
110,1882
111,1787
112,1846
113,1964
114,1939
115,1839
116,1857
117,1968
118,1968
119,1899
120,1890
121,1974
122,2019
123,1951
124,1915
125,1999
126,2064
127,2016
128,1965
129,2045
130,2133
131,2112
132,2047
133,2138
134,2218
135,2205
136,2128
137,2187
138,2324
139,2349
140,2287
141,2331
142,2475
143,2486
144,2407
145,2413
146,2559
147,2583
148,2478
149,2419
150,2494
151,2525
152,2397
153,2257
154,2258
155,2238
156,2096
157,1920
158,1888
159,1904
160,1811
161,1677
162,1658
163,1695
164,1648
165,1535
166,1524
167,1611
168,1597
169,1490
170,1462
171,1567
172,1585
173,1489
174,1456
175,1535
176,1597
177,1535
178,1463
179,1566
180,1631
181,1570
182,1479
183,1570
184,1654
185,1599
186,1498
187,1559
188,1680
189,1658
190,1535
191,1560
192,1682
193,1694
194,1593
195,1583
196,1689
197,1711
198,1616
199,1578
200,1692
201,1746
202,1641
203,1578
204,1680
205,1761
206,1679
207,1599
208,1651
209,1741
210,1708
211,1616
212,1649
213,1745
214,1719
215,1611
216,1630
217,1713
218,1712
219,1625
220,1615
221,1716
222,1744
223,1651
224,1609
225,1678
226,1721
227,1667
228,1622
229,1700
230,1745
231,1702
232,1635
233,1702
234,1777
235,1735
236,1648
237,1684
238,1765
239,1747
240,1669
241,1706
242,1777
243,1758
244,1661
245,1664
246,1773
247,1789
248,1693
249,1652
250,1739
251,1781
252,1723
253,1681
254,1778
255,1817
256,1750
257,1674
258,1744
259,1829
260,1783
261,1691
262,1743
263,1817
264,1782
265,1692
266,1722
267,1817
268,1818
269,1728
270,1728
271,1827
272,1848
273,1744
274,1715
275,1811
276,1807
277,1785
278,1729
279,1808
280,1825
281,1765
282,1710
283,1819
284,1910
285,1871
286,1799
287,1872
288,1963
289,1931
290,1835
291,1874
292,1973
293,1975
294,1886
295,1909
296,2019
297,1979
298,1842
299,1787
300,1849
301,1882
302,1814
303,1743
304,1804
305,1853
306,1769
307,1686
308,1744
309,1809
310,1775
311,1693
312,1735
313,1798
314,1769
315,1677
316,1707
317,1770
318,1780
319,1707
320,1695
321,1759
322,1722
323,1606
324,1687
325,2042
326,2544
327,3141
328,4021
329,4095
330,4095
331,3987
332,3152
333,2525
334,2106
335,1809
336,1684
337,1745
338,1808
339,1779
340,1706
341,1721
342,1797
343,1783
344,1698
345,1692
346,1762
347,1754
348,1661
349,1635
350,1738
351,1758
352,1682
353,1659
354,1761
355,1803
356,1728
357,1669
358,1739
359,1801
360,1729
361,1682
362,1742
363,1818
364,1776
365,1686
366,1744
367,1845
368,1821
369,1727
370,1747
371,1858
372,1853
373,1774
374,1774
375,1876
376,1919
377,1861
378,1823
379,1920
380,1984
381,1955
382,1911
383,1975
384,2077
385,2083
386,2032
387,2097
388,2190
389,2193
390,2151
391,2185
392,2267
393,2295
394,2224
395,2231
396,2281
397,2268
398,2164
399,2095
400,2091
401,2026
402,1874
403,1761
404,1755
405,1731
406,1611
407,1471
408,1447
409,1456
410,1389
411,1287
412,1285
413,1328
414,1296
415,1200
416,1233
417,1300
418,1280
419,1177
420,1194
421,1275
422,1269
423,1185
424,1186
425,1279
426,1297
427,1207
428,1168
429,1264
430,1314
431,1239
432,1173
433,1245
434,1315
435,1275
436,1211
437,1267
438,1318
439,1296
440,1217
441,1261
442,1329
443,1325
444,1253
445,1263
446,1322
447,1331
448,1270
449,1265
450,1328
451,1360
452,1303
453,1257
454,1303
455,1344
456,1307
457,1259
458,1323
459,1382
460,1335
461,1263
462,1311
463,1348
464,1337
465,1262
466,1313
467,1381
468,1360
469,1284
470,1311
471,1394
472,1360
473,1273
474,1280
475,1396
476,1421
477,1344
478,1287
479,1346
480,1379
481,1332
482,1285
483,1328
484,1381
485,1357
486,1299
487,1334
488,1394
489,1371
490,1306
491,1313
492,1358
493,1372
494,1331
495,1349
496,1389
497,1467
498,1344
499,1325
500,1378
501,1411
502,1354
503,1326
504,1394
505,1430
506,1407
507,1361
508,1421
509,1471
510,1417
511,1347
512,1399
513,1481
514,1450
515,1377
516,1413
517,1485
518,1467
519,1391
520,1407
521,1479
522,1466
523,1392
524,1384
525,1445
526,1468
527,1417
528,1382
529,1431
530,1498
531,1469
532,1424
533,1465
534,1498
535,1473
536,1409
537,1425
538,1484
539,1479
540,1443
541,1470
542,1529
543,1535
544,1488
545,1505
546,1591
547,1621
548,1597
549,1599
550,1650
551,1673
552,1638
553,1627
554,1714
555,1776
556,1726
557,1654
558,1678
559,1675
560,1621
561,1569
562,1630
563,1665
564,1616
565,1513
566,1524
567,1579
568,1583
569,1531
570,1559
571,1619
572,1607
573,1531
574,1509
575,1587
576,1630
577,1588
578,1555
579,1585
580,1617
581,1575
582,1484
583,1535
584,1742
585,2024
586,2463
587,3203
588,4095
589,4095
590,4095
591,3777
592,3035
593,2381
594,1841
595,1619
596,1639
597,1729
598,1729
599,1719
600,1744
601,1773
602,1705
603,1659
604,1702
605,1726
606,1687
607,1651
608,1712
609,1767
610,1732
611,1674
612,1735
613,1788
614,1781
615,1718
616,1749
617,1826
618,1814
619,1744
620,1755
621,1815
622,1837
623,1805
624,1808
625,1870
626,1910
627,1872
628,1838
629,1891
630,1937
631,1919
632,1885
633,1922
634,2000
635,2015
636,1987
637,2027
638,2091
639,2112
640,2091
641,2135
642,2221
643,2256
644,2224
645,2256
646,2343
647,2395
648,2363
649,2373
650,2469
651,2542
652,2517
653,2510
654,2559
655,2609
656,2550
657,2473
658,2494
659,2496
660,2385
661,2247
662,2208
663,2162
664,2073
665,1935
666,1872
667,1872
668,1822
669,1723
670,1660
671,1652
672,1670
673,1614
674,1599
675,1631
676,1675
677,1627
678,1584
679,1616
680,1649
681,1616
682,1585
683,1631
684,1672
685,1646
686,1607
687,1654
688,1697
689,1682
690,1622
691,1668
692,1724
693,1714
694,1661
695,1700
696,1755
697,1769
698,1721
699,1722
700,1775
701,1791
702,1762
703,1743
704,1771
705,1811
706,1791
707,1760
708,1804
709,1846
710,1816
711,1759
712,1787
713,1842
714,1839
715,1797
716,1840
717,1881
718,1868
719,1799
720,1833
721,1906
722,1905
723,1839
724,1849
725,1907
726,1922
727,1875
728,1849
729,1907
730,1939
731,1895
732,1842
733,1881
734,1923
735,1915
736,1864
737,1881
738,1938
739,1954
740,1904
741,1919
742,1957
743,1962
744,1903
745,1920
746,1970
747,1983
748,1917
749,1924
750,1974
751,2003
752,1961
753,1936
754,1994
755,2019
756,1963
757,1936
758,2021
759,2071
760,2013
761,1957
762,2021
763,2082
764,2045
765,1959
766,1981
767,2037
768,2039
769,1973
770,1986
771,2032
772,2073
773,2031
774,2017
775,2035
776,2068
777,2037
778,2014
779,2034
780,2071
781,2064
782,2032
783,2059
784,2091
785,2075
786,2037
787,2085
788,2123
789,2101
790,2037
791,2089
792,2128
793,2112
794,2047
795,2107
796,2151
797,2141
798,2069
799,2076
800,2147
801,2165
802,2099
803,2083
804,2141
805,2162
806,2118
807,2128
808,2211
809,2250
810,2226
811,2182
812,2203
813,2238
814,2237
815,2202
816,2251
817,2320
818,2306
819,2195
820,2130
821,2159
822,2176
823,2137
824,2126
825,2139
826,2135
827,2075
828,2055
829,2083
830,2096
831,2065
832,2055
833,2115
834,2127
835,2078
836,2032
837,2076
838,2115
839,2110
840,2059
841,2098
842,2123
843,2043
844,1936
845,2034
846,2311
847,2722
848,3335
849,4095
850,4095
851,4095
852,4095
853,4095
854,3930
855,2934
856,2263
857,1988
858,2024
859,2130
860,2138
861,2089
862,2115
863,2159
864,2113
865,2033
866,2074
867,2101
868,2081
869,2018
870,2032
871,2096
872,2103
873,2043
874,2055
875,2096
876,2110
877,2064
878,2061
879,2096
880,2116
881,2085
882,2087
883,2149
884,2181
885,2110
886,2054
887,2147
888,2197
889,2170
890,2123
891,2187
892,2240
893,2199
894,2148
895,2185
896,2273
897,2288
898,2226
899,2239
900,2303
901,2342
902,2320
903,2357
904,2405
905,2438
906,2413
907,2416
908,2503
909,2559
910,2559
911,2559
912,2635
913,2692
914,2688
915,2645
916,2663
917,2700
918,2673
919,2582
920,2559
921,2559
922,2470
923,2318
924,2251
925,2208
926,2121
927,1986
928,1920
929,1904
930,1865
931,1743
932,1681
933,1742
934,1740
935,1652
936,1606
937,1664
938,1681
939,1607
940,1535
941,1595
942,1653
943,1635
944,1584
945,1603
946,1638
947,1631
948,1567
949,1571
950,1606
951,1623
952,1584
953,1597
954,1646
955,1666
956,1616
957,1614
958,1678
959,1709
960,1642
961,1609
962,1680
963,1726
964,1667
965,1618
966,1680
967,1735
968,1690
969,1646
970,1714
971,1770
972,1730
973,1648
974,1684
975,1744
976,1725
977,1664
978,1683
979,1739
980,1617
981,1664
982,1675
983,1719
984,1726
985,1655
986,1634
987,1708
988,1735
989,1683
990,1647
991,1676
992,1721
993,1710
994,1680
995,1723
996,1746
997,1709
998,1652
999,1670
1000,1725
1001,1733
1002,1675
1003,1695
1004,1733
1005,1741
1006,1678
1007,1686
1008,1731
1009,1743
1010,1680
1011,1654
1012,1738
1013,1775
1014,1740
1015,1705
1016,1757
1017,1776
1018,1725
1019,1683
1020,1744
1021,1781
1022,1757
1023,1705
1024,1754
1025,1814
1026,1781
1027,1714
1028,1777
1029,1851
1030,1808
1031,1714
1032,1744
1033,1818
1034,1798
1035,1719
1036,1737
1037,1840
1038,1847
1039,1773
1040,1737
1041,1808
1042,1853
1043,1794
1044,1746
1045,1799
1046,1840
1047,1793
1048,1731
1049,1779
1050,1847
1051,1811
1052,1742
1053,1775
1054,1842
1055,1842
1056,1776
1057,1805
1058,1858
1059,1843
1060,1776
1061,1779
1062,1867
1063,1872
1064,1803
1065,1799
1066,1930
1067,1989
1068,1935
1069,1899
1070,1980
1071,2009
1072,1945
1073,1899
1074,1985
1075,2087
1076,2032
1077,1919
1078,1936
1079,1971
1080,1904
1081,1824
1082,1877
1083,1963
1084,1904
1085,1787
1086,1781
1087,1859
1088,1850
1089,1754
1090,1727
1091,1806
1092,1856
1093,1795
1094,1754
1095,1811
1096,1860
1097,1808
1098,1739
1099,1785
1100,1849
1101,1793
1102,1680
1103,1714
1104,1875
1105,2105
1106,2483
1107,3203
1108,4095
1109,4095
1110,4095
1111,4095
1112,3770
1113,2823
1114,2128
1115,1798
1116,1835
1117,1894
1118,1846
1119,1825
1120,1903
1121,1915
1122,1830
1123,1749
1124,1818
1125,1879
1126,1813
1127,1737
1128,1786
1129,1851
1130,1803
1131,1739
1132,1795
1133,1870
1134,1849
1135,1767
1136,1782
1137,1870
1138,1869
1139,1802
1140,1802
1141,1907
1142,1914
1143,1823
1144,1808
1145,1921
1146,1965
1147,1903
1148,1853
1149,1959
1150,2031
1151,1957
1152,1897
1153,1983
1154,2073
1155,2015
1156,1931
1157,2030
1158,2147
1159,2118
1160,2037
1161,2095
1162,2214
1163,2231
1164,2171
1165,2203
1166,2308
1167,2355
1168,2320
1169,2320
1170,2418
1171,2473
1172,2422
1173,2383
1174,2485
1175,2545
1176,2468
1177,2385
1178,2418
1179,2432
1180,2320
1181,2163
1182,2145
1183,2149
1184,2007
1185,1822
1186,1786
1187,1805
1188,1721
1189,1587
1190,1567
1191,1665
1192,1646
1193,1511
1194,1454
1195,1557
1196,1566
1197,1456
1198,1410
1199,1506
1200,1572
1201,1474
1202,1407
1203,1515
1204,1584
1205,1509
1206,1415
1207,1478
1208,1565
1209,1500
1210,1408
1211,1457
1212,1575
1213,1535
1214,1456
1215,1479
1216,1595
1217,1590
1218,1489
1219,1463
1220,1569
1221,1616
1222,1535
1223,1490
1224,1586
1225,1623
1226,1554
1227,1471
1228,1593
1229,1654
1230,1600
1231,1505
1232,1578
1233,1666
1234,1616
1235,1531
1236,1580
1237,1667
1238,1648
